polymer_type;density_average;shape_factor;SSDR_w;SSDR_sed;SSDR_soil;SSA_corr_factor;sed_min_sw
EPS;36.5;4;9.51E-16;9.51E-16;9.51E-16;13;8.35E-13
HDPE;955;4;3.17E-15;3.17E-15;3.62E-14;1;5.67E-10
LDPE;925;4;6.34E-15;2.23E-14;4.93E-13;1;5.67E-10
PA_Nylon;1240;4;1.01E-13;1.01E-13;1.01E-13;1;7.16E-07
PET;1350;4;9.51E-15;9.51E-15;1.88E-14;1;7.16E-07
PHA;1220;4;3.57E-12;1.96E-13;3.79E-11;1;7.16E-07
PLA;1240;4;2.85E-15;3.49E-17;3.84E-12;1;7.16E-07
PP;885;4;3.90E-14;2.85E-15;2.20E-14;1;5.67E-10
PS;1040;4;9.51E-16;9.51E-16;9.51E-16;1;5.67E-10
PVC;1380;4;3.17E-16;3.17E-16;3.17E-16;1;7.16E-07
TRWP;1450;4;6.66E-15;6.66E-15;6.66E-15;1;7.16E-07
starch_blend;1250;4;3.21E-12;3.21E-12;1.05E-11;1;
PBAT;1260;4;3.73E-13;3.73E-13;1.72E-13;1;
PAN;1184;4;3.17E-17;3.17E-17;3.17E-17;1;